"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"2360",2015,7995,"Manual",14631,"Petrol",30,54.3,1.2,25.1671093793217
"2683",2016,10000,"Manual",40200,"Petrol",125,52.3,1,26.5478672240097
"13193",2017,16250,"Manual",19643,"Diesel",125,60.1,2,29.7648754175754
"12535",2017,8250,"Manual",35790,"Petrol",0,65.7,1,25.357135844361
"15520",2016,10800,"Manual",19030,"Petrol",20,62.8,1,27.0372149753681
"8193",2016,8495,"Semi-Auto",36325,"Petrol",125,51.4,1,25.5353344388682
"1764",2017,10398,"Manual",16914,"Petrol",0,65.7,1,26.7950832872216
"2954",2017,18350,"Automatic",6985,"Petrol",235,38.2,1.5,30.6202709007165
"8202",2017,10498,"Manual",32873,"Diesel",145,74.3,1.5,26.8560055262108
"2499",2014,7698,"Manual",22384,"Petrol",0,65.7,1,24.9395718673891
"11561",2017,11499,"Manual",12485,"Petrol",0,65.7,1,27.4415816182052
"11830",2018,14199,"Manual",21853,"Diesel",145,74.3,1.5,28.8393144562906
"16827",2011,6295,"Manual",30000,"Petrol",145,47.9,1.6,23.7586934305806
"8555",2019,17690,"Manual",11742,"Petrol",145,52.3,1,30.360269871924
"12371",2018,7623,"Manual",10006,"Petrol",145,57.7,1.2,24.8810041810995
"6202",2017,10499,"Manual",15712,"Diesel",145,74.3,1.5,26.8566123997449
"16107",2019,10995,"Manual",400,"Petrol",145,43.5,1.2,27.152078318669
"17305",2019,39995,"Automatic",800,"Petrol",145,22.1,5,36.6266196265459
"16307",2017,9000,"Manual",87390,"Diesel",30,65.7,2,25.8900425283706
"152",2016,7995,"Manual",20700,"Petrol",125,54.3,1.2,25.1671093793217
"5576",2019,9291,"Manual",2209,"Petrol",150,48.7,1.2,26.0872636436569
"17487",2015,4690,"Manual",63000,"Petrol",30,54.3,1.2,22.1146855879191
"3368",2014,6940,"Manual",27224,"Diesel",0,76.4,1.5,24.3252618322094
"2180",2014,6495,"Manual",52851,"Diesel",20,70.6,1.6,23.9391543002333
"17715",2017,10499,"Manual",22740,"Petrol",125,52.3,1,26.8566123997449
"11259",2017,10399,"Manual",11270,"Petrol",145,65.7,1,26.7956948252142
"17781",2012,5500,"Manual",64068,"Petrol",150,48.7,1.4,22.9925551320108
"4091",2017,19998,"Semi-Auto",18471,"Diesel",145,54.3,2,31.2382583752282
"7817",2019,15995,"Semi-Auto",9950,"Petrol",145,48.7,1,29.655075809312
"14776",2019,15999,"Automatic",999,"Petrol",145,45.6,1,29.6568089313996
"16617",2015,7499,"Manual",26311,"Diesel",0,78.5,1.5,24.7831531732157
"5612",2017,8291,"Manual",29491,"Petrol",150,65.7,1,25.3872491952239
"8929",2018,9600,"Manual",11038,"Petrol",150,64.2,1.1,26.291346445319
"5567",2017,7791,"Manual",15065,"Petrol",145,54.3,1.2,25.0115651537838
"5461",2013,5991,"Manual",38792,"Petrol",160,42.8,1.6,23.4754022839064
"5584",2018,13220,"Manual",13892,"Diesel",145,74.3,1.5,28.3592513307606
"12480",2018,14000,"Manual",13912,"Petrol",150,54.3,1,28.7439261147976
"6864",2017,16998,"Manual",17757,"Diesel",145,64.2,1.5,30.0791910203916
"1606",2018,10200,"Manual",19450,"Petrol",145,60.1,1,26.6730611084716
"887",2015,9000,"Manual",52180,"Diesel",125,60.1,2,25.8900425283706
"14748",2013,6999,"Automatic",62000,"Petrol",0,57.7,1,24.3749545306984
"7735",2015,9500,"Manual",19613,"Diesel",0,78.5,1.5,26.2258828038115
"7078",2014,7040,"Manual",41731,"Petrol",0,65.7,1,24.4092897482127
"15094",2019,12999,"Manual",8732,"Petrol",145,58.9,1,28.2469639951251
"7495",2017,9502,"Manual",25099,"Petrol",0,65.7,1,26.2271974671205
"9418",2018,11995,"Manual",11981,"Petrol",150,65.7,1,27.7167424200531
"12364",2019,13000,"Manual",879,"Petrol",145,58.9,1,28.2474755104875
"15828",2019,15899,"Manual",6562,"Petrol",145,34.4,1.5,29.6133764884395
"5266",2016,8250,"Manual",18270,"Petrol",125,54.3,1.2,25.357135844361
"4189",2017,10698,"Manual",41068,"Diesel",0,74.3,1.5,26.9764703206423
"7787",2019,11930,"Manual",5469,"Petrol",145,58.9,1,27.6812073999592
"8593",2016,10333,"Manual",15800,"Petrol",20,62.8,1,26.7552320162793
"678",2017,9298,"Manual",6213,"Petrol",125,54.3,1.2,26.0919465689486
"6533",2017,11999,"Manual",10395,"Petrol",145,65.7,1,27.7189241543919
"11833",2018,12000,"Manual",9749,"Petrol",145,65.7,1,27.7194694970619
"4724",2016,6697,"Manual",40126,"Petrol",125,54.3,1.2,24.1169622985401
"7667",2018,12500,"Manual",23868,"Petrol",145,58.9,1,27.9876977693224
"5813",2018,11490,"Manual",27291,"Diesel",145,74.3,1.5,27.4365017732432
"13552",2018,11995,"Manual",15900,"Petrol",145,57.7,1,27.7167424200531
"12942",2019,19500,"Manual",6953,"Petrol",150,40.3,1.5,31.0559486547105
"9423",2017,8295,"Manual",35119,"Petrol",0,65.7,1,25.3901807003983
"12972",2014,7495,"Manual",23967,"Petrol",30,54.3,1.2,24.7799752017748
"1763",2017,18598,"Manual",25490,"Diesel",145,54.3,2,30.7160360798485
"14760",2017,10999,"Automatic",45709,"Petrol",150,46.3,1.5,27.1544173746434
"12102",2017,15299,"Semi-Auto",19978,"Diesel",145,58.9,1.5,29.3480916672863
"11484",2019,18399,"Manual",7758,"Diesel",145,47.9,2,30.6392739739177
"7073",2018,19000,"Semi-Auto",32340,"Diesel",150,52.3,2,30.8691202100685
"6429",2019,20450,"Manual",2000,"Diesel",145,38.2,2,31.4006104362342
"12916",2018,8899,"Manual",9987,"Petrol",145,48.7,1.2,25.8203982127987
"12647",2017,10299,"Manual",19789,"Petrol",150,62.8,1,26.734306791431
"11953",2018,13300,"Semi-Auto",9305,"Petrol",150,51.4,1,28.3995282381318
"11188",2017,17399,"Manual",23833,"Diesel",145,54.3,2,30.243161656959
"9568",2016,14500,"Automatic",3255,"Petrol",145,46.3,1.5,28.9815828888789
"9230",2018,10390,"Manual",34240,"Petrol",145,56.5,1,26.7901892887156
"9447",2017,10000,"Manual",16097,"Petrol",145,65.7,1,26.5478672240097
"17030",2019,14175,"Manual",13,"Petrol",145,56.5,1,28.827867267081
"2962",2015,6995,"Manual",41385,"Petrol",125,54.3,1.2,24.3715961455498
